#x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040
1414.866206,437.278436,378.500017,195.985086,118.388415,72.851214,60.778222,48.516177,41.983994,35.845792,30.084215,28.899641,23.305764,21.398980,17.835247,11.799468,9.451710,8.226069,7.158804,6.992537,4.660166,2.825309,1.677255,-1.237701,-1.161027,-0.942987,-0.913525,0.905063,-0.750420,-0.575716,-0.481423,-0.369159,-0.293484,-0.219451,-0.142020,-0.076039,-0.070633,-0.069318,-0.054710,0.000000
1305.647975,240.511266,115.686227,107.416262,85.691816,61.564690,53.591774,51.879292,43.088953,38.680247,35.611376,34.545621,33.036521,27.905375,25.223396,23.542540,21.982291,21.025298,18.915793,17.723305,12.129703,9.249813,9.186081,7.995623,6.771542,5.390889,3.862068,2.958011,1.895146,-0.841559,-0.825439,-0.650852,-0.446651,-0.439830,-0.431498,-0.377912,-0.366116,-0.311227,-0.298812,-0.284461
1383.676989,387.686333,276.587282,260.671806,83.698066,48.104734,34.609047,32.509843,30.938684,27.060508,26.662022,25.138305,23.764625,23.501800,12.894467,6.174761,5.695016,-0.841498,-0.834911,-0.824255,-0.814615,-0.807820,-0.789419,-0.775981,-0.636571,-0.428882,-0.344947,-0.216207,-0.165647,-0.141815,-0.135443,-0.111947,-0.097881,-0.089617,-0.063444,0.051276,-0.049701,-0.032904,-0.006941,0.004395
1321.771066,254.204354,115.607618,101.329932,79.920607,76.638732,64.548289,49.563482,37.301794,36.087950,34.672773,33.457632,31.266553,28.980565,24.709852,18.922804,16.044142,12.470652,9.301048,8.809368,8.725066,8.444737,7.376255,5.403636,5.343669,2.429235,2.279534,1.496486,-1.009631,-0.919378,-0.861152,-0.827003,-0.500738,-0.416327,-0.261796,-0.178119,-0.131006,-0.120619,-0.046092,-0.006598
1332.532309,279.215477,138.761098,113.776779,96.652069,90.273376,67.026272,64.336127,62.220897,40.379002,39.022533,35.148233,34.833897,33.805700,32.954903,32.127897,31.807697,26.724718,21.882714,21.196160,20.688814,20.419547,14.497358,10.760070,10.670612,10.432625,8.818666,8.758935,8.687647,8.609777,7.475956,7.386645,6.930113,4.170996,4.135146,1.660365,1.627497,0.858394,0.815371,-0.410624
1304.238959,165.923589,86.617839,76.134697,74.102329,47.690402,41.871936,22.707615,15.116849,11.280394,9.582150,7.614613,7.288660,3.939573,3.789496,-1.001921,-0.866142,-0.651796,-0.451574,-0.360421,-0.215494,-0.069056,-0.048068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6953.038632,1247.260015,257.290887,132.038867,96.322021,83.296295,69.084219,64.763393,58.918552,50.335896,39.773191,35.504408,33.003939,31.005677,25.849094,22.876527,22.000813,19.305784,17.410017,11.735954,10.353270,9.624462,9.307277,9.039407,7.150736,6.837408,6.495178,4.914840,4.600606,2.040716,1.803619,-1.113172,-0.950853,-0.637552,-0.530244,-0.503321,-0.341903,-0.129606,-0.082730,-0.070378
1353.021260,329.316401,161.369711,100.223091,79.685744,53.457987,46.449199,41.665414,36.182380,27.300013,26.810276,25.616326,22.041837,13.436028,13.157773,10.690972,8.335598,6.630485,5.422664,3.147066,3.113648,-1.019429,-1.018225,-0.874918,-0.868719,-0.868215,-0.810171,-0.506877,-0.410010,-0.205606,-0.192668,-0.142099,-0.132336,-0.118410,-0.115658,-0.060652,-0.047137,0.017966,0.008846,0.001917
3117.610262,2200.703071,1102.853818,332.287945,142.561594,73.511713,64.593239,45.217065,41.543078,33.050591,26.833636,24.022562,22.767557,19.977995,13.304030,11.699926,8.597128,8.254368,4.795009,1.662645,-1.105870,-0.978837,-0.901153,-0.865914,-0.836713,-0.830324,-0.639037,-0.466434,-0.210620,-0.169253,-0.166242,-0.149977,-0.148155,-0.110353,-0.067289,-0.066304,-0.058642,0.054291,0.036438,-0.019986
1432.094243,442.245942,261.542503,223.913893,146.071553,109.147441,89.931998,82.029432,69.586905,39.093596,37.084725,36.689475,35.710649,35.115583,32.438879,32.227465,31.767047,30.140255,29.505401,27.918699,26.161042,24.195645,22.548689,9.532385,9.224655,9.032798,8.874786,8.745299,8.680454,8.621627,8.433306,8.384790,8.332939,2.686928,1.890613,1.850753,1.825677,1.800026,-0.771272,-0.283062
1351.451656,430.386685,353.641830,182.588506,107.113876,80.556520,64.281716,47.317545,43.477191,40.107254,36.287183,36.219544,31.957845,30.562539,21.865746,18.756312,13.256922,11.103101,9.920579,9.824202,7.566649,7.191057,4.688691,2.514786,2.452307,-1.142478,-1.133031,-0.836478,-0.729760,-0.668902,-0.564539,-0.560716,-0.421705,-0.368226,-0.354331,-0.195590,-0.157981,-0.127282,-0.098418,-0.056607
1296.999881,274.426246,108.722559,81.824737,71.201429,64.163987,58.741432,55.560139,51.839162,47.210274,41.572516,38.043420,35.145397,28.706608,28.120741,22.123905,21.279368,20.606214,18.163777,15.686959,13.881587,8.777913,8.262743,7.632823,4.452829,3.776771,1.927895,1.048846,-0.918330,-0.566511,-0.505534,-0.477252,-0.424756,-0.414989,-0.398487,-0.365590,-0.335609,-0.308510,-0.079205,-0.055598
1315.825287,212.259685,104.018242,77.772061,71.827232,69.704316,54.336400,39.597431,28.379821,26.583266,18.560531,10.609992,9.609844,9.150423,7.633228,7.024401,6.864775,4.411545,1.674618,-1.160201,-0.886834,-0.664006,-0.573093,-0.366039,-0.262788,-0.130498,-0.094409,-0.036373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2563.053072,1305.118838,240.802778,122.614795,92.133399,76.790586,73.394861,71.289355,50.280384,39.309867,35.323198,33.749640,31.157307,25.004100,20.431522,15.148559,10.638538,9.622883,9.276109,8.323141,7.659218,7.172488,7.046408,4.382883,3.550967,1.448127,-0.956849,-0.897249,-0.832309,-0.746558,-0.651050,-0.491189,-0.448220,-0.375312,-0.288442,-0.200567,-0.122960,-0.114586,-0.045459,-0.006575
1325.247097,299.214740,136.720908,116.431522,102.286765,80.904238,74.740733,68.212708,63.691595,61.024067,46.785681,45.423301,36.670063,33.912227,33.137256,32.070844,29.685895,26.991627,24.854935,22.039439,21.511964,20.710984,19.995551,18.996149,16.699067,14.493843,13.160394,10.328175,9.428144,8.703456,8.477195,6.940839,6.731576,6.643981,6.415399,5.232313,3.798113,1.285494,1.132489,0.616289
1408.637258,427.718145,374.568859,159.815287,102.230740,63.148180,41.679053,38.408619,28.272077,26.051900,23.865198,21.598266,21.447114,14.069883,9.805708,7.955272,6.891369,5.128720,2.291471,-1.148931,-0.992144,-0.959522,-0.851548,-0.830719,-0.689940,-0.617968,-0.603773,-0.533407,-0.340756,-0.186044,-0.177260,-0.161186,-0.150168,-0.133623,-0.107801,-0.087395,0.066098,-0.054545,0.041221,0.001338
1400.545462,484.606644,326.611839,187.691340,115.653858,92.088937,86.305502,75.007339,71.281177,60.839377,46.681671,40.578796,34.727269,34.177607,33.236998,31.534894,30.037069,29.534234,26.530737,25.896365,22.307867,21.051240,19.205952,13.391903,11.497587,11.238005,10.982751,10.880760,10.703009,10.678745,8.197718,6.602859,6.313624,6.141992,6.029592,5.889501,5.307116,5.277800,3.306986,0.659206
2712.548559,1189.868556,383.416400,265.477424,128.750813,93.175224,88.690889,42.318182,36.153864,34.821829,33.885142,32.947881,31.053889,22.391308,13.041704,9.585764,9.341345,9.150793,9.027242,8.985183,4.755679,2.910993,2.888200,-1.150809,-1.145015,-0.868187,-0.779164,-0.619241,-0.616161,-0.481474,-0.473830,-0.444336,-0.415798,-0.267911,-0.248283,-0.175984,-0.155131,-0.130276,-0.076010,0.012780
1409.210070,433.633838,370.422195,155.239033,87.008000,67.437702,39.231310,36.384319,23.758558,22.739255,20.869454,19.168242,11.769787,10.566436,8.362662,6.342501,2.171972,-1.107845,-0.967076,-0.932315,-0.838666,-0.831243,-0.703843,-0.660749,-0.463270,-0.210110,-0.166961,-0.162484,-0.133591,-0.125273,-0.099412,-0.069783,0.037641,-0.033563,0.025104,-0.022455,0.000000,0.000000,0.000000,0.000000
1336.934264,336.777363,120.906248,113.092698,89.050526,88.141768,79.259523,72.694333,66.129969,61.725752,40.800351,35.819885,35.446616,33.941012,31.786646,31.175735,29.984013,27.366534,26.772596,25.518160,20.197015,12.182519,11.665691,8.872233,8.814470,8.738977,8.576785,8.189481,6.836948,6.300549,5.448382,5.335154,5.062043,3.991944,2.518044,1.825373,1.233320,0.833713,-0.678881,-0.478924
1319.545720,188.687614,85.173932,79.945356,75.084471,46.824532,43.793458,29.942739,26.933280,23.239537,22.470881,16.933859,13.252795,13.033732,9.166224,8.667478,6.747569,3.148853,3.019259,-1.018852,-0.983368,-0.937418,-0.850010,-0.847166,-0.813213,-0.638022,-0.491900,-0.179262,-0.162618,-0.160218,-0.145351,-0.128296,-0.122730,-0.114351,0.057851,-0.048296,0.033520,-0.032087,-0.011091,-0.009349
1315.039242,209.148746,94.578455,82.608154,76.756874,53.666709,41.457642,35.912450,30.801185,26.766862,25.497122,23.946246,23.792880,22.127906,12.196883,11.749706,10.752122,6.940424,4.505518,3.690592,3.380215,1.474673,-1.102825,-1.033029,-0.927524,-0.862467,-0.839374,-0.839020,-0.469884,-0.212090,-0.159991,-0.137175,-0.131673,-0.071959,-0.071424,-0.068599,-0.062246,-0.034829,0.030374,-0.028263
1302.184488,225.360579,126.112203,83.656853,59.200534,55.756881,50.707624,37.208950,36.065442,33.533862,31.111735,29.713823,27.059781,23.249283,20.628732,12.679254,11.268470,9.595403,9.263444,7.179887,6.666950,4.790967,3.424346,1.898979,1.590823,-1.214530,-1.061694,-0.898543,-0.840629,-0.620556,-0.602455,-0.488460,-0.460123,-0.383306,-0.320712,-0.248803,-0.193079,-0.106657,-0.077858,-0.049567
2429.896457,1258.337148,272.662014,121.661735,94.832621,77.086716,63.882056,55.886720,48.123861,40.810289,37.346951,34.559358,32.216297,29.936970,27.167005,21.904527,17.213938,10.221119,9.938850,9.725208,8.570344,7.869350,6.970998,5.650635,4.758301,2.607792,1.687058,-1.208011,-1.103936,-0.862674,-0.594253,-0.574419,-0.465284,-0.392754,-0.363645,0.311974,-0.158330,-0.148859,-0.090736,-0.060878
1415.526584,434.590172,276.698205,269.765775,118.027643,84.179128,68.933685,59.796972,48.471445,41.866394,38.223583,34.480003,32.493017,29.696019,25.045848,23.086532,22.340250,20.664663,14.868046,10.493902,9.407864,9.108362,7.079848,5.049726,2.906908,-1.146069,-0.738362,-0.695395,-0.619211,-0.479962,-0.421097,-0.407374,-0.399151,-0.377883,-0.339051,-0.315234,-0.246733,-0.239444,-0.152025,-0.106092
1307.783710,450.964968,296.297784,231.131689,218.163176,51.309901,39.130390,36.356879,32.123299,30.831332,28.656974,27.216939,25.080709,24.627503,24.219385,9.126926,5.893692,-0.838393,-0.835398,-0.826969,-0.814726,-0.810762,-0.800002,-0.766239,-0.578836,-0.164959,-0.151378,-0.144556,-0.128925,-0.126814,-0.116750,-0.107443,-0.084369,-0.068904,-0.059833,-0.041425,-0.033604,0.023218,-0.011317,0.007902
1420.135659,558.606677,366.114030,257.267392,157.326510,122.093884,84.563509,80.308661,76.086685,65.966398,63.226890,60.670394,52.959426,41.248809,37.521873,34.588129,34.436410,30.303486,23.795008,21.797326,20.313718,18.233213,12.698657,11.102964,10.384294,9.419337,8.579226,6.194308,4.601336,3.646614,3.278385,3.167568,2.913647,1.339260,-1.219602,-0.620450,-0.554753,-0.496970,-0.259295,-0.122916
1324.181999,366.247483,196.066223,113.201655,87.297175,75.590843,72.984008,61.389781,55.727117,42.698723,34.775689,32.086201,27.703255,25.964172,25.053546,24.652098,23.743615,20.823788,14.183935,11.292348,9.549197,9.259070,8.469215,7.486890,7.030512,6.413091,4.915889,4.096539,1.705863,-0.900630,-0.828831,-0.657316,-0.561111,-0.534173,-0.398718,-0.333749,-0.284834,-0.243923,-0.120035,-0.048468
1379.493205,492.586856,301.513084,161.253254,105.448615,97.723318,78.218493,72.744778,45.701398,44.546680,36.101049,34.310341,33.518079,32.514503,25.710056,25.539633,23.269120,20.295969,12.618891,12.287684,9.548098,9.334932,9.027082,8.922200,8.639940,6.850713,2.885254,2.845507,2.773712,2.466299,-1.155020,-0.970263,-0.620208,-0.603649,-0.470271,-0.451086,-0.256977,-0.196488,-0.116782,-0.069713
1324.832870,165.943836,74.805459,57.236463,52.681793,41.020815,34.752940,24.089775,20.841773,20.321903,20.259467,17.800882,12.489703,10.907152,7.952384,7.135583,6.894723,4.954810,3.487296,2.259949,-1.272174,-0.939423,-0.924630,-0.856279,-0.695927,-0.585458,-0.546719,-0.492525,-0.476790,-0.409750,-0.403195,-0.178781,-0.166106,-0.106909,-0.086929,-0.080072,-0.074742,-0.059326,-0.036156,0.021977
1405.467766,427.092363,375.052821,160.340490,104.625576,67.536569,48.134349,43.520383,37.808063,29.902597,23.324945,21.558940,17.339900,14.166917,11.431530,9.074199,8.187649,7.349336,5.639585,2.069940,-1.147698,-1.030533,-0.873385,-0.858223,-0.672475,-0.608804,-0.584600,-0.470174,-0.452018,-0.417147,-0.288717,-0.205323,-0.160576,-0.139948,-0.095896,-0.073809,-0.072333,-0.069744,0.057558,-0.036922
3123.534298,2200.313929,1105.429063,337.120681,148.599788,78.406871,68.818161,51.643135,45.270586,41.069692,30.580465,24.538390,23.477797,22.890352,21.624315,15.986901,10.663159,10.373784,8.965209,7.192388,5.982514,1.932921,-1.086050,-0.971349,-0.919085,-0.837668,-0.688256,-0.643171,-0.470399,-0.341675,-0.290638,-0.206241,-0.167159,-0.137477,-0.102659,-0.081859,-0.077587,-0.056944,0.022949,0.004534
1373.852776,391.173329,209.077763,128.965347,96.666857,92.207253,89.643528,73.290869,69.974808,60.301327,41.084060,36.971027,35.369652,35.279221,33.918932,33.189564,31.046150,30.546285,26.594318,26.031352,23.589109,22.269203,21.850674,12.511187,9.035583,8.930405,8.733724,8.681427,8.513655,8.451522,8.147571,6.831291,5.903590,5.375758,5.287315,2.996556,1.883831,1.867511,1.850460,-0.420246
1393.311223,441.663091,318.052492,175.824623,98.348905,89.762605,73.539166,71.548222,48.581075,38.608345,27.287690,27.179093,23.842980,23.124530,19.234167,17.984933,12.486741,8.059315,7.308276,6.275388,6.137989,5.940953,1.626871,-1.008826,-0.901956,-0.886295,-0.834939,-0.834183,-0.822414,-0.333564,-0.328469,-0.134845,-0.123303,-0.110910,-0.077567,-0.068566,-0.065024,-0.050953,-0.034591,-0.022932
195.557604,86.774244,63.866326,51.142847,34.541824,32.055942,28.174396,27.214660,24.096059,22.630886,21.831964,17.330349,11.081705,10.535706,7.575231,7.100078,4.852398,-1.013388,-0.848631,-0.839087,-0.805175,-0.797702,-0.780189,-0.640267,-0.613177,-0.564148,-0.247950,-0.221215,-0.176092,-0.160498,-0.144404,-0.134437,-0.093018,-0.079915,-0.065012,-0.057906,0.055741,-0.044011,-0.028444,0.024494
1342.148195,332.557933,153.781111,92.024511,59.355611,55.353352,45.562814,38.623541,26.188446,22.134192,18.930892,14.658040,14.113678,13.153690,9.972719,8.675814,7.566514,6.877034,6.046412,3.952235,3.408687,-0.956118,-0.935641,-0.686098,-0.636622,-0.530345,-0.510909,-0.453864,-0.437127,-0.362015,-0.343800,-0.294948,-0.218057,-0.149300,-0.116120,-0.082614,-0.065834,-0.044981,0.030468,-0.017040
1312.838515,208.846451,104.779141,80.117139,75.955708,65.540772,63.430807,42.357680,34.899972,30.274236,22.130587,16.072415,12.535821,10.212746,9.574231,7.467042,7.038011,6.435946,5.361907,1.818822,-1.050381,-0.982815,-0.867801,-0.785514,-0.577728,-0.396476,-0.369984,-0.359010,-0.258062,-0.176738,-0.084807,-0.073893,-0.071452,-0.066029,-0.040296,0.000000,0.000000,0.000000,0.000000,0.000000
1316.355438,236.444656,125.952135,99.058197,74.291949,62.305691,55.770190,41.101561,40.599947,33.723781,29.692608,24.511616,24.123872,17.697996,17.122643,10.587844,9.302228,8.633274,7.979730,7.552826,6.176272,4.729438,4.664501,3.375886,1.282681,-1.131057,-1.048554,-0.916391,-0.841891,-0.760821,-0.665031,-0.497193,-0.390408,-0.342531,-0.292454,-0.281560,-0.166776,-0.113608,-0.076506,-0.010666
1308.465928,244.723703,125.659612,95.998001,81.740704,52.146050,46.880585,43.534703,32.875676,31.147242,29.080782,25.868524,23.280147,20.403917,18.368094,17.268741,11.235555,7.294594,7.123477,5.462314,4.988964,4.430252,3.865710,2.552577,1.295283,-1.200697,-0.911005,-0.909409,-0.844315,-0.832331,-0.640349,-0.464419,-0.329170,-0.314780,-0.092322,-0.085358,-0.080329,-0.076528,-0.068195,-0.060233
1527.781400,703.921278,481.127059,438.739392,392.585698,356.486929,344.241911,330.235665,289.323360,104.964752,65.750178,54.191733,41.115438,34.105073,32.608592,29.231400,28.319793,14.139710,13.454543,9.356141,9.137790,8.269160,7.774003,2.901559,1.639242,-1.148995,-0.957493,-0.952434,-0.623599,-0.543034,-0.512134,-0.446815,-0.268404,-0.158296,-0.146136,-0.123388,-0.101254,-0.078265,0.061848,-0.022720
1336.779741,390.056136,192.337133,92.303305,91.056081,47.940654,41.658273,35.892299,33.080747,29.792460,29.116902,28.533146,28.313844,23.158257,11.419603,10.992919,9.377384,7.981980,6.003206,5.761255,5.523648,3.584196,1.981615,-1.177293,-0.895535,-0.893298,-0.829654,-0.662256,-0.612856,-0.544165,-0.536992,-0.464182,-0.337812,-0.255254,-0.222449,-0.216928,-0.121878,-0.102850,-0.071835,-0.032962
1339.087482,315.119142,140.164137,99.041481,88.483252,73.596419,70.457018,35.930339,34.729828,33.811608,32.148051,27.383054,26.890218,9.648043,9.514182,9.340964,9.117375,8.921219,7.021993,6.260672,6.230704,2.911246,2.880310,-1.145113,-1.143864,-0.824238,-0.822697,-0.618083,-0.616690,-0.475657,-0.460232,-0.331339,-0.328085,-0.270759,-0.250361,0.155006,-0.144823,-0.123130,-0.076949,0.000000
225.664977,91.014482,72.034747,55.407544,45.716202,32.562136,29.814533,27.707062,24.362839,23.468583,21.538499,14.981208,13.077312,11.297992,9.949713,7.976621,5.679668,5.065939,1.921405,-1.128349,-1.009215,-0.910822,-0.839004,-0.836268,-0.670855,-0.637134,-0.473636,-0.364217,-0.343821,-0.245718,-0.226109,-0.206463,-0.134514,-0.131515,-0.118616,-0.108684,-0.045025,-0.040450,0.021464,0.011489
1354.421979,275.322757,130.855573,112.390643,89.278994,76.091377,71.862009,47.427195,44.144832,41.541163,40.000976,38.831689,37.167103,34.236624,33.386440,31.816150,22.169553,21.484981,20.173239,17.554312,17.417273,11.279755,10.882075,9.405286,8.393536,8.247488,7.805149,6.214023,6.095105,5.670499,4.824422,1.728702,1.331584,1.277737,-1.214126,1.213152,-0.619878,-0.495292,-0.257464,-0.116061
1315.964878,207.923488,90.485837,84.779248,80.876331,66.638776,51.845105,40.290104,37.168810,29.242352,27.837106,27.347056,16.969419,12.913202,12.346612,9.808483,9.453937,7.795839,7.369129,6.971073,5.048743,3.442285,1.243678,-1.033637,-0.963869,-0.905673,-0.871000,-0.621738,-0.583574,-0.496823,-0.202618,-0.176937,-0.127033,-0.119088,-0.104102,0.100535,-0.068948,-0.059561,-0.038337,-0.014480
1400.760751,399.267527,275.499849,206.575439,101.408508,86.915196,63.670350,56.077058,52.745223,51.036933,46.759356,45.926941,36.185541,31.635596,29.085051,26.957760,24.672070,13.448320,11.842582,9.914418,8.114604,6.527145,3.661866,1.676909,-1.002401,-0.999664,-0.816542,-0.784902,-0.574370,-0.519837,-0.386001,-0.384989,-0.152775,-0.149843,-0.142888,-0.088164,-0.075459,-0.070098,0.031429,-0.024363
1487.286465,483.982508,348.371282,335.561650,286.618603,112.155283,95.292211,79.910511,72.943281,38.093733,34.278566,33.954859,31.751545,31.368416,22.816560,11.612135,9.521785,9.315058,9.224428,8.834216,8.816089,7.914338,2.670004,2.662816,-1.069250,-1.068577,-0.860489,-0.676015,-0.561647,-0.559498,-0.533354,-0.403341,-0.344088,-0.338437,-0.298309,-0.140304,-0.117983,-0.098448,-0.066510,-0.017748
1320.180312,205.506738,94.092059,80.266432,76.846345,63.592504,57.447081,35.056647,29.611892,24.343700,22.480698,14.298371,9.903911,8.319642,7.649577,7.077915,5.540119,4.086837,-1.017709,-0.949259,-0.846714,-0.836230,-0.617371,-0.273868,-0.167321,-0.139446,-0.133829,-0.103398,-0.058904,-0.036905,0.005126,0.001175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
143.883946,76.970490,55.909299,49.751686,25.089406,24.244221,23.525358,23.043310,11.586090,11.057207,10.544781,10.185749,-0.982018,-0.969711,-0.963403,-0.937870,-0.847088,-0.840803,-0.830490,-0.826517,-0.366849,-0.359967,-0.313425,-0.276320,-0.156223,-0.138550,-0.133073,-0.130412,-0.127000,-0.111060,-0.100536,-0.086170,0.083145,-0.075850,0.034586,-0.031598,-0.027085,0.025165,-0.004389,-0.000773
1318.599304,259.661686,120.775145,106.439109,77.127225,74.064572,69.547828,63.284037,52.206508,37.819519,34.536211,32.588611,25.080806,19.283339,18.030760,14.474452,11.353642,10.316087,9.579047,8.802739,7.536582,7.080520,7.014003,6.584100,4.885253,1.607508,-0.934892,-0.885246,-0.760085,-0.610488,-0.480873,-0.457377,-0.432642,-0.394053,-0.263800,-0.176862,-0.112875,-0.065732,-0.053148,-0.000964
1505.949184,495.728809,343.736663,287.359935,268.074870,155.655211,121.143134,98.449204,82.286644,72.739234,59.410124,46.802666,40.023878,35.705934,34.441063,33.881240,33.408916,32.565204,31.361479,30.563227,28.995478,24.064066,21.533618,17.745852,12.126228,9.616331,8.968970,8.896116,8.705017,8.666562,8.596652,8.460475,8.357997,7.107076,6.376088,3.884781,1.885288,1.864112,1.465877,1.413765
1367.754966,440.311805,190.533680,98.072747,84.125401,61.382068,49.103450,47.571159,46.599090,40.095103,36.755331,35.895866,34.713562,31.482525,25.886709,19.392568,18.879324,12.051677,9.801856,9.730211,7.937539,7.565051,6.824210,2.438588,2.384382,-1.166433,-1.147485,-0.837013,-0.693133,-0.674581,-0.571120,-0.564815,-0.375768,-0.365690,-0.362969,-0.167602,-0.134760,-0.117407,-0.078888,-0.047177
219.082461,78.937144,72.088347,47.938331,42.036563,31.725501,27.492916,24.474661,23.690614,21.895687,13.041828,11.782904,11.164808,8.265634,5.654610,5.547797,1.964435,-1.125468,-1.009199,-0.908812,-0.890114,-0.881460,-0.837701,-0.830833,-0.472548,-0.356118,-0.348140,-0.216874,-0.133655,-0.130233,-0.122355,-0.115353,-0.079870,-0.075906,-0.069282,-0.066956,-0.039980,-0.029049,0.025834,0.017620
1375.843038,459.293086,250.050766,124.126751,85.654039,71.020833,65.674207,53.292753,51.013698,47.422259,45.239384,44.157721,42.481607,40.181192,36.089569,33.192464,28.561648,23.690994,19.193861,17.921807,12.311082,10.131880,10.053176,9.587216,8.273277,6.902853,4.731019,2.520215,2.126824,-1.133439,-0.893993,-0.718913,-0.581525,-0.517608,-0.435571,-0.375422,-0.156432,-0.091782,-0.064522,-0.061821
