#Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability,MND
-1949.918482,-0.091945,5.515200,-0.841810,0.167810,-0.189930,-0.022120,222.381318,11.000000
-3035.005728,-0.095934,4.771800,0.358370,0.084420,-0.176120,-0.091700,265.625829,4.000000
-7504.883627,-0.105780,7.539900,0.035480,0.079200,-0.152440,-0.073240,273.137406,5.000000
-3183.547216,-0.147317,4.064600,-0.566700,0.118740,-0.171390,-0.052650,413.208573,8.000000
-3071.923321,-0.076425,5.235700,-0.306310,0.097910,-0.177810,-0.079900,245.836776,8.000000
-3271.253635,-0.102864,7.781100,0.462560,0.080790,-0.133400,-0.052610,288.139697,4.000000
-2980.807903,-0.162245,6.063400,-1.641240,0.150600,-0.202580,-0.051980,365.560409,8.000000
-2157.351988,-0.056996,1.519600,-0.931480,0.159650,-0.222730,-0.063080,190.999456,7.000000
-2421.395071,-0.082008,3.166700,-0.863740,0.095460,-0.134910,-0.039450,256.239348,5.000000
-3405.790891,-0.209862,3.380000,0.111470,0.087300,-0.139220,-0.051920,530.285626,4.000000
-7782.525750,-0.223264,0.000200,0.322410,0.069100,-0.186130,-0.117030,553.682983,4.000000
-3633.123856,-0.168269,1.866900,0.058530,0.144440,-0.158630,-0.014190,436.493104,6.000000
-2436.696857,-0.074838,3.576200,-0.755380,0.150160,-0.219180,-0.069020,248.270057,8.000000
-2963.911284,-0.183890,8.094500,0.710470,0.046230,-0.115410,-0.069180,476.797437,3.000000
-2716.655124,-0.126650,6.422500,0.581990,0.101220,-0.274080,-0.172860,344.900825,6.000000
-2198.409525,-0.082921,1.741700,-0.549250,0.097800,-0.206860,-0.109060,225.741927,9.000000
-4021.746798,-0.206023,6.511000,-0.913570,0.115910,-0.154230,-0.038320,515.663795,7.000000
-3643.680076,-0.097829,6.340200,-0.725370,0.113670,-0.160730,-0.047060,294.230210,6.000000
-2104.945096,-0.054470,5.407700,-0.985100,0.137560,-0.215640,-0.078080,170.257649,7.000000
-2934.342525,-0.122488,4.018800,-0.903350,0.154920,-0.176010,-0.021090,306.422246,6.000000
-2450.287623,-0.074665,3.795500,-0.951140,0.160740,-0.210570,-0.049830,246.496874,7.000000
-4398.260576,-0.232499,0.408400,-0.530240,0.106580,-0.145900,-0.039320,555.826217,6.000000
-3390.258742,-0.143482,11.936300,0.414120,0.111310,-0.286290,-0.174980,354.730278,6.000000
-2847.200981,-0.169485,0.030500,1.033750,0.036960,-0.145280,-0.108320,416.028553,4.000000
-3732.798740,-0.174432,17.493900,0.273750,0.081730,-0.147090,-0.065360,410.185696,6.000000
-2347.624414,-0.083655,2.866700,0.070890,0.087430,-0.176950,-0.089520,236.834196,7.000000
-3614.111662,-0.139838,15.149700,0.295940,0.042040,-0.162470,-0.120430,400.844903,6.000000
-2829.657088,-0.110905,5.001400,0.582120,0.042610,-0.170980,-0.128370,356.057714,6.000000
-2237.456139,-0.058660,3.295600,-0.961790,0.154460,-0.225250,-0.070790,212.406672,7.000000
-2073.693618,-0.064311,3.704500,-0.799700,0.136860,-0.202600,-0.065740,197.991666,7.000000
-3536.347561,-0.091342,3.432800,-0.059180,0.079960,-0.163940,-0.083980,303.878272,6.000000
-7398.677805,-0.135774,10.276900,0.522400,0.088200,-0.138150,-0.049950,307.118388,5.000000
-4143.038817,-0.235766,4.303800,-1.313680,0.106470,-0.159240,-0.052770,553.419641,6.000000
-2509.453737,-0.071552,0.001900,0.573820,0.098320,-0.169610,-0.071290,219.654626,6.000000
-4280.181272,-0.204864,0.018400,0.289560,0.078680,-0.158360,-0.079680,576.520672,6.000000
-3483.979414,-0.106952,0.001100,0.295310,0.041010,-0.116800,-0.075790,337.282500,6.000000
-3712.307072,-0.228593,7.166700,0.691630,0.099480,-0.164660,-0.065180,597.031800,5.000000
-2741.591533,-0.122403,4.592800,-1.042610,0.119500,-0.176950,-0.057450,412.757106,8.000000
-3153.342999,-0.150557,1.584900,0.201090,0.066250,-0.175730,-0.109480,464.040845,5.000000
-4050.138907,-0.133467,7.821300,0.247150,0.042290,-0.157530,-0.115240,419.136140,6.000000
-4532.737074,-0.215019,7.687200,-1.056560,0.096080,-0.172680,-0.076600,542.406216,5.000000
-2570.513559,-0.137386,5.275500,0.587620,0.122140,-0.123850,-0.001710,339.991587,6.000000
-2728.869309,-0.170506,9.483600,0.305090,0.092520,-0.118970,-0.026450,401.166572,4.000000
-3098.268583,-0.147414,6.268400,-0.654520,0.093760,-0.172810,-0.079050,371.772434,5.000000
-2958.825503,-0.086813,4.712900,-1.285340,0.166980,-0.190780,-0.023800,271.827677,6.000000
-2183.090958,-0.060983,3.560700,-0.394500,0.118340,-0.205750,-0.087410,214.947159,8.000000
-3217.020947,-0.104486,5.734600,0.362730,0.080350,-0.138660,-0.058310,295.242417,5.000000
-3422.912974,-0.180072,5.824000,0.094720,0.092770,-0.130220,-0.037450,446.366714,4.000000
-4064.553476,-0.196451,2.881400,-0.617030,0.096760,-0.178410,-0.081650,442.697073,5.000000
-8458.702997,-0.361414,0.389500,0.139840,0.017450,-0.151390,-0.133940,895.129296,6.000000
-2500.518927,-0.096528,5.136900,0.421120,0.103680,-0.120680,-0.017000,243.813845,8.000000
-2874.865983,-0.131991,5.251600,-0.190100,0.098270,-0.167470,-0.069200,403.256322,8.000000
-3652.916514,-0.274932,0.296600,1.001740,0.073450,-0.155850,-0.082400,640.587591,5.000000
-4601.295731,-0.328991,0.024900,0.460370,0.076200,-0.163580,-0.087380,729.589636,4.000000
-3163.502980,-0.162331,3.091400,-0.724290,0.120150,-0.175060,-0.054910,433.479140,7.000000
-3802.248994,-0.232976,0.001800,-0.142420,0.084190,-0.153560,-0.069370,556.412631,6.000000
-2769.932716,-0.147806,2.140600,-0.358810,0.134040,-0.197540,-0.063500,371.036831,8.000000
-2758.069284,-0.140309,5.959300,-0.430150,0.157270,-0.298130,-0.140860,376.111182,8.000000
-7555.068456,-0.154681,11.976300,0.401190,0.086470,-0.154470,-0.068000,425.296880,6.000000
-2708.551264,-0.066131,5.634700,-0.484700,0.122480,-0.199970,-0.077490,210.312355,6.000000
-2412.209612,-0.110351,5.015900,0.134110,0.062270,-0.134570,-0.072300,316.137752,6.000000
-3722.598614,-0.248882,3.663400,0.713730,0.093170,-0.127450,-0.034280,611.850464,6.000000
-2259.621028,-0.046317,11.344900,-1.608300,0.165200,-0.185510,-0.020310,154.138072,5.000000
-2764.645046,-0.160833,4.586600,-0.043980,0.089300,-0.112580,-0.023280,406.140652,8.000000
-2282.301454,-0.084908,6.438600,-0.215170,0.080440,-0.168460,-0.088020,258.607052,8.000000
-2908.221240,-0.101721,3.298500,-0.830210,0.142970,-0.226580,-0.083610,306.587884,7.000000
-2431.259559,-0.039440,5.867300,-0.137730,0.100470,-0.211740,-0.111270,149.382866,8.000000
-4793.998097,-0.253206,7.319200,0.242960,0.064410,-0.180140,-0.115730,630.029836,5.000000
-3664.517116,-0.216498,3.744400,-0.667690,0.109760,-0.153590,-0.043830,531.675206,8.000000
-2945.524404,-0.072485,7.173600,0.492170,0.068210,-0.147120,-0.078910,219.367168,4.000000
-2902.960615,-0.081627,4.803600,0.558210,0.057350,-0.040920,0.016430,265.475292,5.000000
-2704.506554,-0.066159,4.411800,0.698650,0.062240,-0.139040,-0.076800,176.548350,5.000000
-2374.750938,-0.102339,4.364100,-0.270370,0.143620,-0.300690,-0.157070,274.511798,8.000000
-2059.749573,-0.022027,3.503700,-1.633720,0.165460,-0.217950,-0.052490,93.302285,5.000000
-4821.660547,-0.107264,5.214100,-0.758250,0.117600,-0.177330,-0.059730,303.212795,8.000000
-3151.930394,-0.097540,3.780600,-0.575500,0.084350,-0.168350,-0.084000,275.760771,8.000000
-2955.797414,-0.136345,3.470700,-0.413250,0.102620,-0.160620,-0.058000,386.837789,8.000000
-4996.875575,-0.227307,13.968000,0.556280,0.109140,-0.168630,-0.059490,529.594502,6.000000
-2785.456925,-0.147436,2.301400,0.038230,0.106100,-0.154960,-0.048860,342.501475,6.000000
-2993.517441,-0.158735,0.919100,0.329710,0.097640,-0.178160,-0.080520,440.159365,5.000000
-3321.114204,-0.229514,5.946200,0.500650,0.043970,-0.134840,-0.090870,548.748670,5.000000
-2414.581967,-0.112711,0.581200,0.711310,0.075530,-0.139590,-0.064060,300.324822,4.000000
-3741.368155,-0.161630,5.250800,-1.012530,0.121090,-0.152760,-0.031670,376.878954,6.000000
-4090.280029,-0.172114,5.342400,0.225700,0.067530,-0.180820,-0.113290,437.790199,5.000000
-3484.737681,-0.176580,4.333300,-0.418310,0.127370,-0.276080,-0.148710,456.312378,8.000000
-5659.329111,-0.246151,1.780700,0.519580,0.082020,-0.196500,-0.114480,643.439918,5.000000
-2665.287808,-0.067761,6.709600,0.660840,0.082220,-0.177400,-0.095180,221.982362,6.000000
-7327.014286,-0.141024,8.650000,-0.735760,0.064190,-0.161500,-0.097310,369.104156,6.000000
-3378.498761,-0.197633,3.458700,0.576840,0.118820,-0.176670,-0.057850,560.119870,7.000000
-3354.403121,-0.188549,7.141600,0.520620,0.064290,-0.139820,-0.075530,470.094347,5.000000
-3400.818851,-0.148083,7.014500,0.349250,0.093660,-0.260870,-0.167210,338.251122,6.000000
-3526.589562,-0.167882,0.912100,-0.872070,0.145690,-0.300250,-0.154560,431.499242,8.000000
-5049.900400,-0.304630,0.076400,-0.887610,0.089470,-0.028870,0.060600,676.831619,5.000000
-4030.635114,-0.097755,0.036400,0.322740,0.018270,-0.213430,-0.195160,357.662422,6.000000
-2449.147946,-0.090538,5.538100,-0.424330,0.083150,-0.190140,-0.106990,260.371519,8.000000
-1983.675898,-0.027868,1.627000,-1.331220,0.169790,-0.240820,-0.071030,117.223409,6.000000
-4289.965339,-0.177947,0.005500,0.345240,0.049000,-0.144290,-0.095290,541.126112,6.000000
-4077.023332,-0.238423,4.521900,-1.083460,0.154270,-0.300800,-0.146530,568.302641,6.000000
-3330.732023,-0.156391,8.108500,0.847150,0.036890,-0.136120,-0.099230,412.989864,3.000000
-3125.294953,-0.121702,15.408200,0.501650,0.090630,-0.161940,-0.071310,352.175378,6.000000
-3056.812567,-0.114509,1.886900,-0.579290,0.117960,-0.175090,-0.057130,326.583911,8.000000
-3255.030483,-0.158051,2.644300,-0.775910,0.139570,-0.314580,-0.175010,394.952853,8.000000
-3264.719048,-0.131562,7.955500,0.144490,0.088050,-0.124050,-0.036000,322.577543,4.000000
-4276.679777,-0.277869,2.569300,-1.757540,0.171710,-0.148390,0.023320,593.696715,6.000000
-5158.150085,-0.167041,0.003300,1.013260,0.067200,-0.214830,-0.147630,504.957259,4.000000
-2745.297451,-0.065791,5.343900,-0.795860,0.119050,-0.209710,-0.090660,227.820101,7.000000
-2823.211581,-0.111592,5.409500,0.403650,0.080480,-0.161600,-0.081120,360.420404,6.000000
-2643.766672,-0.111370,3.892800,-0.838020,0.124560,-0.174020,-0.049460,293.776247,7.000000
-2811.967541,-0.080333,4.101000,-0.443670,0.116640,-0.180040,-0.063400,237.208682,8.000000
-3521.646600,-0.159325,4.915700,0.673610,0.049700,-0.145170,-0.095470,402.306683,3.000000
-2065.461200,-0.044529,2.939700,-0.726770,0.118370,-0.204580,-0.086210,171.962200,7.000000
-3089.378192,-0.108686,12.898200,0.406230,0.083650,-0.149350,-0.065700,291.783601,6.000000
-3093.066512,-0.197889,3.247700,0.739380,0.088280,-0.155190,-0.066910,478.163587,5.000000
-2610.070744,-0.060479,8.327700,-0.424960,0.104640,-0.189940,-0.085300,190.535042,6.000000
-3456.358600,-0.181986,6.231300,-0.826960,0.054700,-0.144920,-0.090220,443.147755,8.000000
-3807.855619,-0.195225,4.260100,-0.654490,0.119070,-0.162350,-0.043280,523.241332,6.000000
-3105.045201,-0.199616,0.697400,0.791680,0.083560,-0.144210,-0.060650,490.505509,4.000000
-2852.695810,-0.138587,5.954000,0.744730,0.087310,-0.186920,-0.099610,368.744845,4.000000
-3379.931214,-0.189187,0.782100,-0.122030,0.094390,-0.282020,-0.187630,459.212435,7.000000
-3555.486696,-0.191408,3.373600,-0.326240,0.080980,-0.136870,-0.055890,484.599852,6.000000
-2843.589574,-0.107755,2.803000,-0.726120,0.138420,-0.349170,-0.210750,308.876943,8.000000
-3082.952112,-0.180809,2.649900,-0.391230,0.092000,-0.127480,-0.035480,474.795950,6.000000
-4534.747693,-0.087649,5.082100,-1.863190,0.192000,-0.241920,-0.049920,290.346441,6.000000
-3613.181640,-0.179458,4.154200,0.287540,0.048720,-0.136540,-0.087820,398.653173,4.000000
-2997.812196,-0.132780,5.787600,-0.646620,0.151660,-0.182060,-0.030400,390.670461,8.000000
-3314.949015,-0.235664,3.744200,0.986980,0.049850,-0.138120,-0.088270,513.356099,3.000000
-3129.434008,-0.115904,1.428400,-0.485670,0.080530,-0.166420,-0.085890,308.670637,8.000000
-4504.805799,-0.166836,10.073300,0.089930,0.096830,-0.219800,-0.122970,514.426209,6.000000
-2956.669455,-0.082054,6.665800,0.111660,0.038650,-0.156490,-0.117840,272.935721,5.000000
-4546.782687,-0.257652,3.022900,-1.788350,0.123890,-0.167190,-0.043300,609.172462,6.000000
-7915.914634,-0.177707,6.626300,0.367510,0.070050,-0.184910,-0.114860,454.360322,4.000000
-3062.018311,-0.171543,11.515200,0.710330,0.100450,-0.275110,-0.174660,423.768127,6.000000
-3545.020962,-0.141341,2.310700,0.282940,0.067600,-0.152060,-0.084460,388.619325,5.000000
-2603.633603,-0.078336,5.148100,-0.912280,0.150780,-0.227530,-0.076750,254.269203,7.000000
-3538.023732,-0.124617,15.486500,0.361550,0.045930,-0.153490,-0.107560,386.440294,6.000000
-3122.642563,-0.159034,9.170500,-1.206340,0.113320,-0.038640,0.074680,393.614055,4.000000
-3344.860491,-0.195548,4.210900,0.340690,0.080780,-0.243930,-0.163150,445.598918,4.000000
-3232.975726,-0.208883,8.541200,0.943730,0.084590,-0.142440,-0.057850,514.073115,5.000000
-4818.615652,-0.182727,10.137900,0.247080,0.060320,-0.151040,-0.090720,567.734026,6.000000
-2381.894122,-0.101190,4.553700,-0.992660,0.156510,-0.197950,-0.041440,263.257459,7.000000
-3569.086047,-0.201917,1.477800,-0.684140,0.106290,-0.286870,-0.180580,509.532093,8.000000
-3324.226089,-0.145291,0.860800,0.052980,0.066910,-0.170580,-0.103670,332.979706,4.000000
-3350.573098,-0.134701,6.219900,0.894600,0.102430,-0.046870,0.055560,394.549229,4.000000
-7541.475278,-0.119236,3.124600,0.219130,0.070430,-0.157150,-0.086720,338.629858,5.000000
-2621.195718,-0.055767,0.011300,0.888510,0.087020,-0.164120,-0.077100,195.727216,6.000000
-3714.748101,-0.167337,4.118300,0.094630,0.095890,-0.184820,-0.088930,490.513201,6.000000
-2181.724985,-0.047705,5.974600,0.606350,0.090880,-0.286290,-0.195410,130.356672,5.000000
-2778.199302,-0.108534,4.471400,0.410390,0.072000,-0.283090,-0.211090,338.774624,6.000000
-4030.412474,-0.179308,4.344400,0.668610,0.063770,-0.166510,-0.102740,483.867649,4.000000
-2738.708804,-0.110266,5.095900,-0.412620,0.141270,-0.324910,-0.183640,323.331402,8.000000
-3248.789875,-0.068425,5.043000,0.080340,0.086840,-0.031950,0.054890,252.876340,6.000000
-2798.533020,-0.196093,4.308800,0.628930,0.100420,-0.150970,-0.050550,440.191941,5.000000
-3404.938973,-0.105159,8.492000,-0.509350,0.111180,-0.187750,-0.076570,298.253013,8.000000
-2497.853586,-0.094346,5.042500,-0.370130,0.103590,-0.165610,-0.062020,280.895875,8.000000
-4166.216159,-0.099882,1.706200,0.120260,0.115570,-0.228490,-0.112920,342.588330,6.000000
-2371.389813,-0.034028,4.610100,-0.316760,0.101600,-0.209760,-0.108160,131.118261,8.000000
-2626.382467,-0.093900,12.297700,-1.688760,0.135590,-0.174380,-0.038790,253.837894,5.000000
-3829.181776,-0.118890,0.000100,0.714890,0.091870,-0.193400,-0.101530,329.163819,6.000000
-3105.055119,-0.115924,3.085500,-0.787340,0.131400,-0.200820,-0.069420,341.462376,8.000000
-4417.045978,-0.194925,2.355000,-0.513710,0.115930,-0.286700,-0.170770,545.537293,8.000000
-2711.609121,-0.112536,12.973500,0.169080,0.099270,-0.290650,-0.191380,321.657839,6.000000
-3188.503811,-0.126896,7.717500,0.259750,0.080460,-0.126360,-0.045900,301.263382,4.000000
-2068.863735,-0.056699,5.755700,-0.559930,0.128230,-0.190550,-0.062320,175.724262,8.000000
-3170.684704,-0.079454,5.132700,0.198410,0.063220,-0.159880,-0.096660,257.452693,5.000000
-2641.535035,-0.032781,3.421900,-0.560150,0.132530,-0.415750,-0.283220,129.959935,8.000000
-2484.205954,-0.079936,3.547800,0.678720,0.016400,-0.164990,-0.148590,265.522274,6.000000
-7315.631879,-0.074116,0.008400,0.321920,0.131180,-0.146620,-0.015440,249.179286,6.000000
-4875.853214,-0.070866,6.381700,-1.372840,0.185480,-0.248590,-0.063110,234.178971,10.000000
-3648.931149,-0.223274,1.867500,-0.583020,0.108110,-0.285740,-0.177630,533.152227,8.000000
-3071.028818,-0.182869,7.483500,-0.352470,0.057330,-0.136390,-0.079060,455.716974,5.000000
-2177.642959,-0.053705,6.452900,-0.234290,0.100820,-0.173110,-0.072290,187.467383,8.000000
-2255.278649,-0.052287,3.090500,-0.911630,0.155150,-0.230480,-0.075330,178.175896,7.000000
-3378.795944,-0.153603,3.255100,0.202740,0.066300,-0.173170,-0.106870,478.859056,5.000000
-4122.011678,-0.157720,2.307900,-0.828520,0.076090,-0.145490,-0.069400,387.972324,6.000000
-3524.541143,-0.114348,0.000700,-0.866010,0.089890,-0.195000,-0.105110,461.897521,6.000000
-2577.836287,-0.097170,7.332200,-1.393380,0.136980,-0.186620,-0.049640,279.172890,5.000000
-2933.170839,-0.089138,4.000400,0.453590,0.091260,-0.149330,-0.058070,225.569464,5.000000
-3315.265041,-0.117502,6.743400,0.214090,0.069650,-0.178290,-0.108640,327.610925,5.000000
-2062.188267,-0.049515,8.398900,-1.299160,0.112950,-0.338610,-0.225660,149.215268,5.000000
-3103.951986,-0.104984,9.449100,0.463940,0.072760,-0.121520,-0.048760,270.083113,6.000000
-2579.407288,-0.109550,3.329500,0.686310,0.092680,-0.157840,-0.065160,337.079727,5.000000
-3319.090571,-0.157473,3.450400,0.746620,0.093350,-0.253580,-0.160230,422.703850,5.000000
-3783.486914,-0.264009,2.218500,0.821830,0.061210,-0.126190,-0.064980,596.978423,4.000000
-3470.684302,-0.116492,11.354900,0.361100,0.114180,-0.296840,-0.182660,312.015021,6.000000
-9057.497361,-0.389970,0.010300,-0.927050,0.116870,-0.155110,-0.038240,957.881355,6.000000
-3058.651593,-0.079670,5.617000,0.214940,0.070190,-0.156970,-0.086780,244.732613,5.000000
-4601.777974,-0.377895,1.829200,-1.618220,0.120350,-0.181380,-0.061030,882.094742,5.000000
-3173.930162,-0.159396,15.235100,-1.389380,0.086190,-0.157080,-0.070890,418.101321,5.000000
-3665.959401,-0.320910,4.163000,0.936190,0.073860,-0.139760,-0.065900,672.878675,4.000000
-2619.879851,-0.098185,4.247400,-0.843100,0.125310,-0.192100,-0.066790,276.831032,7.000000
-2463.037864,-0.079206,7.751800,0.413970,0.076120,-0.041910,0.034210,254.861366,5.000000
-2665.819301,-0.134538,6.904400,0.745080,0.042410,-0.110080,-0.067670,377.604870,4.000000
-3393.312422,-0.281776,4.695900,0.707210,0.074110,-0.145540,-0.071430,593.306839,4.000000
-3408.582689,-0.163564,5.306700,-1.554370,0.123460,-0.173630,-0.050170,412.639967,5.000000
-3630.804325,-0.161873,8.002800,0.228740,0.067710,-0.170590,-0.102880,425.343898,5.000000
-4941.105958,-0.066630,7.668700,-1.037470,0.117490,-0.185870,-0.068380,217.383986,6.000000
-2315.175242,-0.097468,4.923400,-0.759500,0.121100,-0.194770,-0.073670,264.511404,7.000000
-3096.192317,-0.197574,2.718100,0.824460,0.075450,-0.126230,-0.050780,497.799213,4.000000
-3134.347324,-0.207606,3.282000,0.379130,0.074620,-0.140630,-0.066010,512.346716,8.000000
-3530.684177,-0.114238,0.052000,0.348890,0.049370,-0.140570,-0.091200,366.342041,6.000000
-2044.550019,-0.048431,5.354700,-0.889840,0.166120,-0.246950,-0.080830,157.700113,7.000000
-2772.563710,-0.123209,3.085400,-1.255680,0.178480,-0.181490,-0.003010,307.674020,6.000000
-4300.061153,-0.060032,4.813600,-0.379130,0.098860,-0.156100,-0.057240,195.765247,8.000000
-2578.436185,-0.086885,4.903000,-0.909370,0.155940,-0.200100,-0.044160,250.404714,9.000000
-5765.729108,-0.194329,5.406700,-0.334140,0.092930,-0.185120,-0.092190,534.815348,8.000000
-8155.870819,-0.189079,5.119800,-0.634350,0.082570,-0.156460,-0.073890,493.801530,6.000000
-5307.123310,-0.326773,11.143100,0.127960,0.086930,-0.169650,-0.082720,845.084207,6.000000
-2823.174077,-0.149481,13.081400,0.314110,0.105090,-0.278620,-0.173530,384.097038,6.000000
-2450.289648,-0.072709,3.924800,-0.937690,0.161350,-0.210950,-0.049600,246.554284,7.000000
-4771.345281,-0.310275,2.846600,-1.348720,0.140960,-0.276130,-0.135170,708.447297,6.000000
-3707.964173,-0.158067,6.930200,-0.585610,0.103440,-0.308430,-0.204990,453.508449,8.000000
-4599.339080,-0.079633,1.393600,-0.689290,0.112550,-0.173490,-0.060940,249.621230,8.000000
-3106.212590,-0.164614,5.124000,-1.547290,0.143750,-0.193020,-0.049270,385.390719,5.000000
-3983.758676,-0.291784,2.014600,0.492110,0.028560,-0.151310,-0.122750,718.339526,6.000000
-2954.004870,-0.102894,8.048900,0.408810,0.069420,-0.149240,-0.079820,237.493995,6.000000
-3643.412856,-0.226491,4.760100,0.013510,0.091590,-0.170180,-0.078590,485.752784,4.000000
-3272.018038,-0.100411,23.600000,0.860810,0.032450,-0.137320,-0.104870,331.852773,6.000000
-3934.131095,-0.152900,4.859500,0.366490,0.049220,-0.302220,-0.253000,429.295697,6.000000
-2863.347166,-0.108346,9.233100,0.384690,0.090160,-0.151730,-0.061570,326.834437,6.000000
-1897.069342,-0.040743,2.561600,-0.297000,0.133890,-0.378390,-0.244500,150.802932,8.000000
-2893.258665,-0.134563,4.495200,-0.550300,0.120340,-0.174210,-0.053870,358.171277,8.000000
-2229.622000,-0.084157,2.987700,-0.858340,0.146660,-0.190130,-0.043470,239.729414,7.000000
-3276.437310,-0.160274,5.477500,-0.730820,0.126230,-0.174880,-0.048650,421.873518,8.000000
-3360.826621,-0.093081,4.303300,0.834810,0.090040,-0.151840,-0.061800,311.293689,6.000000
-3939.121095,-0.208296,8.295400,0.264990,0.064570,-0.173180,-0.108610,506.272467,5.000000
-2240.864304,-0.068128,2.947700,-0.749520,0.116400,-0.191920,-0.075520,230.438682,7.000000
-4893.081122,-0.327104,2.943800,-0.620830,0.081580,-0.145020,-0.063440,696.716214,4.000000
-3396.333066,-0.087042,12.884800,0.700900,0.063500,-0.145000,-0.081500,263.507175,5.000000
-1816.043759,-0.028711,3.968900,-0.636300,0.155730,-0.392800,-0.237070,120.426149,8.000000
-2272.266361,-0.051884,1.525600,-0.923750,0.143440,-0.224120,-0.080680,186.477613,7.000000
-2429.398821,-0.075652,2.136200,-0.174900,0.094320,-0.317620,-0.223300,260.242737,8.000000
-4071.534925,-0.114552,12.428900,-0.713820,0.099280,-0.162270,-0.062990,342.951629,6.000000
-2516.038601,-0.080983,4.946500,0.305650,0.083300,-0.192590,-0.109290,245.570086,4.000000
-2920.857709,-0.103185,7.175100,-1.236490,0.150350,-0.226140,-0.075790,288.017033,6.000000
-3465.136642,-0.210914,1.140400,0.737950,0.074110,-0.146860,-0.072750,491.456424,4.000000
